item,count
bybit,31431
okx,21029
bitget,20481
binance,20078
mexc,18566
kucoin,15205
coinbase,15201
wise,11717
kraken,8578
revolut,7229
moonpay,7115
gate,5355
skrill,4822
turkey,4422
poland,4233
jeton,3935
argentina,3644
sumsub,3425
mexico,3388
bitexen,3280
whitebit,2988
payoneer,2810
brazil,2740
peru,2465
colombia,2303
europe,2138
thailand,2093
chile,2057
venezuela,1999
huobi,1925
kenya,1858
amazon,1798
latvia,1697
ecuador,1450
algeria,1445
tiktok shop,1352
neteller,1351
exmo,1268
morocco,1196
bolivia,1141
nicaragua,815
uruguay,731
onfido,687
jordan,613
paraguay,596
el salvador,586
ebay,513
myanmar,431
advcash,191
upi,152
shopee,83
mercado pago,54
ramp,44
aliexpress,29
trulioo,12
pix,3
